3 1 3.628492 0.428264 3.082958 (-34.000000, 18.000000, 46.000000, -21.000000)
3 1 3.628492 0.770906 3.425600 (-34.000000, 18.000000, 35.000000, -34.000000)
3 1 3.628492 0.770906 3.425600 (-34.000000, 18.000000, 35.000000, -34.000000)
3 1 3.628492 0.770906 3.425600 (-34.000000, 18.000000, 35.000000, -34.000000)
3 1 3.628492 0.770906 3.425600 (-34.000000, 18.000000, 35.000000, -34.000000)
3 1 3.729595 0.197396 2.750986 (-9.000000, 6.000000, 10.000000, -2.000000)
3 1 3.729595 0.197396 2.750986 (-9.000000, 6.000000, 10.000000, -2.000000)
3 1 3.729595 0.197396 2.750986 (-9.000000, 6.000000, 10.000000, -2.000000)
3 1 3.729595 0.197396 2.750986 (-9.000000, 6.000000, 10.000000, -2.000000)
3 1 3.729595 0.785398 3.338988 (-9.000000, 6.000000, 10.000000, -10.000000)
3 1 3.729595 0.785398 3.338988 (-9.000000, 6.000000, 10.000000, -10.000000)
3 1 3.729595 0.785398 3.338988 (-9.000000, 6.000000, 10.000000, -10.000000)
3 1 3.729595 0.785398 3.338988 (-9.000000, 6.000000, 10.000000, -10.000000)
3 1 3.729595 0.785398 3.338988 (-9.000000, 6.000000, 10.000000, -10.000000)
3 1 3.729595 0.785398 3.338988 (-9.000000, 6.000000, 10.000000, -10.000000)
3 1 3.729595 1.012197 3.565787 (-9.000000, 6.000000, 5.000000, -8.000000)
3 1 3.729595 1.012197 3.565787 (-9.000000, 6.000000, 5.000000, -8.000000)
3 1 3.729595 1.012197 3.565787 (-9.000000, 6.000000, 5.000000, -8.000000)
3 1 3.729595 1.012197 3.565787 (-9.000000, 6.000000, 5.000000, -8.000000)
3 1 3.729595 1.570796 4.124386 (-9.000000, 6.000000, 0.000000, -9.000000)
3 1 3.729595 1.570796 4.124386 (-9.000000, 6.000000, 0.000000, -9.000000)
3 1 3.729595 1.570796 4.124386 (-9.000000, 6.000000, 0.000000, -9.000000)
3 1 3.729595 1.570796 4.124386 (-9.000000, 6.000000, 0.000000, -9.000000)
3 1 3.742666 0.089050 2.629568 (-35.000000, 24.000000, 56.000000, -5.000000)
3 1 3.742666 0.089050 2.629568 (-35.000000, 24.000000, 56.000000, -5.000000)
3 1 3.742666 0.588003 3.128522 (-35.000000, 24.000000, 45.000000, -30.000000)
3 1 3.742666 0.588003 3.128522 (-35.000000, 24.000000, 45.000000, -30.000000)
3 1 3.742666 1.033512 3.574031 (-35.000000, 24.000000, 28.000000, -47.000000)
3 1 3.742666 1.033512 3.574031 (-35.000000, 24.000000, 28.000000, -47.000000)
3 1 3.742666 1.441094 3.981613 (-35.000000, 24.000000, 6.000000, -46.000000)
3 1 3.742666 1.441094 3.981613 (-35.000000, 24.000000, 6.000000, -46.000000)
3 2 3.628492 1.674589 4.329282 (-34.000000, 18.000000, -5.000000, -48.000000)
3 2 3.628492 1.674589 4.329282 (-34.000000, 18.000000, -5.000000, -48.000000)
3 2 3.628492 2.509902 5.164595 (-34.000000, 18.000000, -41.000000, -30.000000)
3 2 3.628492 2.509902 5.164595 (-34.000000, 18.000000, -41.000000, -30.000000)
3 2 3.628492 2.509902 5.164595 (-34.000000, 18.000000, -41.000000, -30.000000)
3 2 3.628492 2.509902 5.164595 (-34.000000, 18.000000, -41.000000, -30.000000)
3 2 3.729595 1.789465 4.343055 (-9.000000, 6.000000, -2.000000, -9.000000)
3 2 3.729595 1.789465 4.343055 (-9.000000, 6.000000, -2.000000, -9.000000)
3 2 3.729595 1.789465 4.343055 (-9.000000, 6.000000, -2.000000, -9.000000)
