    [junit] after addscratch: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|1540096> (0.003906) (|01 0111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1556480> (0.003906) (|01 0111 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1572864> (0.003906) (|01 1000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1589248> (0.003906) (|01 1000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1605632> (0.003906) (|01 1000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1622016> (0.003906) (|01 1000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1638400> (0.003906) (|01 1001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1654784> (0.003906) (|01 1001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1671168> (0.003906) (|01 1001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1687552> (0.003906) (|01 1001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1703936> (0.003906) (|01 1010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1720320> (0.003906) (|01 1010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1736704> (0.003906) (|01 1010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1753088> (0.003906) (|01 1010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1769472> (0.003906) (|01 1011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1785856> (0.003906) (|01 1011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1802240> (0.003906) (|01 1011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1818624> (0.003906) (|01 1011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1835008> (0.003906) (|01 1100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1851392> (0.003906) (|01 1100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1867776> (0.003906) (|01 1100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1884160> (0.003906) (|01 1100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1900544> (0.003906) (|01 1101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1916928> (0.003906) (|01 1101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1933312> (0.003906) (|01 1101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1949696> (0.003906) (|01 1101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1966080> (0.003906) (|01 1110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1982464> (0.003906) (|01 1110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1998848> (0.003906) (|01 1110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2015232> (0.003906) (|01 1110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2031616> (0.003906) (|01 1111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2048000> (0.003906) (|01 1111 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2064384> (0.003906) (|01 1111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2080768> (0.003906) (|01 1111 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2097152> (0.003906) (|10 0000 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2113536> (0.003906) (|10 0000 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2129920> (0.003906) (|10 0000 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2146304> (0.003906) (|10 0000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2162688> (0.003906) (|10 0001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2179072> (0.003906) (|10 0001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2195456> (0.003906) (|10 0001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2211840> (0.003906) (|10 0001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2228224> (0.003906) (|10 0010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2244608> (0.003906) (|10 0010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2260992> (0.003906) (|10 0010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2277376> (0.003906) (|10 0010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2293760> (0.003906) (|10 0011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2310144> (0.003906) (|10 0011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2326528> (0.003906) (|10 0011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2342912> (0.003906) (|10 0011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2359296> (0.003906) (|10 0100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2375680> (0.003906) (|10 0100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2392064> (0.003906) (|10 0100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2408448> (0.003906) (|10 0100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2424832> (0.003906) (|10 0101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2441216> (0.003906) (|10 0101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2457600> (0.003906) (|10 0101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2473984> (0.003906) (|10 0101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2490368> (0.003906) (|10 0110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2506752> (0.003906) (|10 0110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2523136> (0.003906) (|10 0110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2539520> (0.003906) (|10 0110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2555904> (0.003906) (|10 0111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2572288> (0.003906) (|10 0111 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2588672> (0.003906) (|10 0111 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2605056> (0.003906) (|10 0111 1100 0000 0000 0000>)
