    [junit] after exp_mod_n: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|1544192> (0.003906) (|01 0111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1558528> (0.003906) (|01 0111 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1573888> (0.003906) (|01 1000 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1597440> (0.003906) (|01 1000 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1609728> (0.003906) (|01 1000 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1624064> (0.003906) (|01 1000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1639424> (0.003906) (|01 1001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1662976> (0.003906) (|01 1001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1675264> (0.003906) (|01 1001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1689600> (0.003906) (|01 1001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1704960> (0.003906) (|01 1010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1728512> (0.003906) (|01 1010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1740800> (0.003906) (|01 1010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1755136> (0.003906) (|01 1010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1770496> (0.003906) (|01 1011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1794048> (0.003906) (|01 1011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1806336> (0.003906) (|01 1011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1820672> (0.003906) (|01 1011 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1836032> (0.003906) (|01 1100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1859584> (0.003906) (|01 1100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1871872> (0.003906) (|01 1100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1886208> (0.003906) (|01 1100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1901568> (0.003906) (|01 1101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1925120> (0.003906) (|01 1101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1937408> (0.003906) (|01 1101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1951744> (0.003906) (|01 1101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1967104> (0.003906) (|01 1110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1990656> (0.003906) (|01 1110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2002944> (0.003906) (|01 1110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2017280> (0.003906) (|01 1110 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2032640> (0.003906) (|01 1111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2056192> (0.003906) (|01 1111 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2068480> (0.003906) (|01 1111 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2082816> (0.003906) (|01 1111 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2098176> (0.003906) (|10 0000 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2121728> (0.003906) (|10 0000 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2134016> (0.003906) (|10 0000 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2148352> (0.003906) (|10 0000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2163712> (0.003906) (|10 0001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2187264> (0.003906) (|10 0001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2199552> (0.003906) (|10 0001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2213888> (0.003906) (|10 0001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2229248> (0.003906) (|10 0010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2252800> (0.003906) (|10 0010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2265088> (0.003906) (|10 0010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2279424> (0.003906) (|10 0010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2294784> (0.003906) (|10 0011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2318336> (0.003906) (|10 0011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2330624> (0.003906) (|10 0011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2344960> (0.003906) (|10 0011 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2360320> (0.003906) (|10 0100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2383872> (0.003906) (|10 0100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2396160> (0.003906) (|10 0100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2410496> (0.003906) (|10 0100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2425856> (0.003906) (|10 0101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2449408> (0.003906) (|10 0101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2461696> (0.003906) (|10 0101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2476032> (0.003906) (|10 0101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|2491392> (0.003906) (|10 0110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|2514944> (0.003906) (|10 0110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2527232> (0.003906) (|10 0110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|2541568> (0.003906) (|10 0110 1100 1000 0000 0000>)
